,breath_id,closest_cluster,farest_cluster
0,1,31,199
1,2,0,199
2,3,0,199
3,4,0,199
4,5,22,199
5,6,234,199
6,7,0,199
7,9,0,199
8,10,0,199
9,12,251,199
10,13,9,121
11,14,82,189
12,15,22,199
13,16,0,199
14,17,151,199
15,18,3,199
16,19,234,199
17,20,0,199
18,21,0,199
19,22,41,199
20,23,0,199
21,25,127,258
22,26,0,199
23,27,0,199
24,28,0,199
25,29,0,199
26,30,34,189
27,32,0,199
28,34,213,121
29,35,170,121
30,36,64,199
31,37,192,121
32,39,201,189
33,40,0,199
34,41,0,199
35,42,121,199
36,43,0,199
37,44,3,258
38,46,234,199
39,47,234,199
40,48,258,121
41,49,0,199
42,52,0,199
43,53,27,199
44,54,0,199
45,55,22,199
46,57,244,189
47,58,27,199
48,59,31,199
49,60,62,189
50,61,0,199
51,63,0,199
52,64,22,199
53,66,17,199
54,67,0,199
55,68,0,199
56,69,0,199
57,70,0,199
58,71,0,199
59,72,234,199
60,73,0,199
61,75,121,199
62,76,227,258
63,77,0,199
64,79,3,189
65,82,163,121
66,83,0,199
67,84,0,199
68,87,86,189
69,89,31,199
70,90,125,121
71,92,0,199
72,93,112,189
73,94,121,199
74,100,0,199
75,101,79,199
76,104,27,199
77,106,121,199
78,108,0,199
79,111,0,199
80,112,0,199
81,114,0,199
82,115,27,199
83,117,79,199
84,118,169,121
85,119,0,199
86,120,0,199
87,122,101,121
88,125,0,199
89,126,32,199
90,129,234,199
91,130,234,199
92,131,121,199
93,133,249,189
94,134,0,199
95,135,0,199
96,136,51,199
97,138,27,199
98,141,121,199
99,142,227,258
100,143,151,199
101,144,236,189
102,146,234,199
103,147,0,199
104,148,121,199
105,149,251,199
106,150,0,199
107,151,0,199
108,152,31,199
109,154,0,199
110,155,163,189
111,156,27,199
112,157,22,199
113,160,163,121
114,162,192,121
115,163,6,199
116,164,0,199
117,165,0,199
118,166,251,199
119,167,22,199
120,169,158,121
121,170,27,199
122,172,191,189
123,173,121,199
124,175,0,199
125,176,0,199
126,177,140,189
127,179,143,199
128,181,121,199
129,183,33,199
130,184,234,199
131,186,121,199
132,187,31,199
133,188,33,189
134,189,6,199
135,190,206,199
136,191,0,199
137,192,0,199
138,193,23,258
139,197,215,189
140,199,195,199
141,201,0,199
142,202,79,199
143,203,234,199
144,204,0,199
145,207,0,199
146,208,121,199
147,211,251,199
148,212,19,189
149,213,15,189
150,214,0,199
151,216,257,199
152,217,205,199
153,218,0,199
154,219,151,199
155,221,0,199
156,223,167,189
157,224,234,199
158,225,143,199
159,226,64,199
160,227,0,199
161,229,121,199
162,230,0,199
163,231,27,199
164,234,0,199
165,235,0,199
166,237,31,199
167,238,0,199
168,239,81,189
169,240,0,199
170,241,192,121
171,242,16,189
172,244,114,258
173,245,234,199
174,249,231,121
175,251,31,199
176,254,246,189
177,255,0,199
178,256,0,199
179,257,0,199
180,258,31,199
181,259,121,199
182,262,22,199
183,263,22,199
184,264,0,199
185,267,0,199
186,270,223,121
187,271,0,199
188,275,98,189
189,277,0,199
190,278,0,199
191,280,0,199
192,281,0,199
193,283,31,199
194,284,0,199
195,285,234,199
196,286,0,199
197,287,234,199
198,289,234,199
199,290,22,199
200,292,248,189
201,294,251,199
202,296,31,199
203,297,97,189
204,298,22,199
205,299,0,199
206,302,102,121
207,303,230,258
208,304,0,199
209,305,79,199
210,307,121,199
211,309,156,189
212,313,0,199
213,314,234,199
214,316,84,121
215,317,3,199
216,319,177,121
217,321,31,199
218,323,215,121
219,324,234,199
220,325,0,199
221,326,64,199
222,327,0,199
223,328,18,121
224,329,25,189
225,331,0,199
226,332,150,121
227,333,0,199
228,334,257,189
229,335,121,199
230,337,0,199
231,338,0,199
232,340,0,199
233,342,208,147
234,344,234,199
235,345,0,199
236,346,0,199
237,349,0,199
238,352,151,199
239,353,0,199
240,354,125,121
241,356,0,199
242,357,0,199
243,358,129,189
244,359,135,189
245,362,0,199
246,363,0,199
247,364,31,199
248,366,22,199
249,367,0,199
250,369,234,199
251,370,0,199
252,371,214,121
253,372,76,121
254,373,214,189
255,376,0,199
256,377,151,199
257,379,0,199
258,381,0,199
259,385,121,199
260,386,125,121
261,387,245,199
262,388,0,199
263,389,0,199
264,391,234,199
265,392,0,199
266,394,234,199
267,395,22,199
268,397,0,199
269,399,0,199
270,400,0,199
271,402,135,189
272,403,31,199
273,404,0,199
274,405,0,199
275,407,183,199
276,410,147,121
277,411,125,121
278,412,121,199
279,413,234,199
280,414,31,199
281,415,0,199
282,416,0,199
283,417,0,199
284,418,247,189
285,422,229,199
286,423,0,199
287,427,0,199
288,428,33,189
289,429,0,199
290,430,0,199
291,432,22,199
292,433,22,199
293,434,0,199
294,436,0,199
295,437,168,121
296,438,0,199
297,439,121,199
298,441,32,189
299,442,234,199
300,443,19,189
301,446,0,199
302,448,0,199
303,450,0,199
304,451,121,199
305,453,0,199
306,454,143,199
307,455,125,121
308,456,0,199
309,458,0,199
310,459,12,199
311,461,234,199
312,462,22,199
313,463,0,199
314,464,234,199
315,469,0,199
316,470,0,199
317,471,0,199
318,472,79,199
319,474,0,199
320,475,234,199
321,476,31,199
322,477,31,199
323,478,163,121
324,479,0,199
325,482,214,258
326,484,0,199
327,486,0,199
328,489,0,199
329,490,135,189
330,494,114,189
331,496,164,121
332,499,202,121
333,500,22,199
334,501,0,199
335,504,0,199
336,505,0,199
337,506,0,199
338,508,0,199
339,510,0,199
340,511,31,199
341,512,116,121
342,513,121,199
343,516,245,199
344,518,0,199
345,519,121,199
346,521,31,199
347,523,0,199
348,526,234,199
349,528,0,199
350,530,0,199
351,532,234,199
352,534,234,199
353,535,163,121
354,536,234,199
355,538,0,199
356,539,234,199
357,540,143,199
358,541,0,199
359,542,121,199
360,543,79,199
361,545,107,189
362,546,124,121
363,547,17,199
364,551,0,199
365,553,0,199
366,555,201,189
367,556,0,199
368,557,0,199
369,559,0,199
370,560,0,199
371,561,27,199
372,564,0,199
373,565,0,199
374,567,46,189
375,573,46,258
376,574,0,199
377,575,234,199
378,578,0,199
379,579,258,121
380,581,0,199
381,582,183,199
382,583,0,199
383,584,260,199
384,587,34,189
385,588,48,189
386,589,234,199
387,591,200,258
388,592,31,199
389,594,0,199
390,595,0,199
391,596,31,199
392,597,206,199
393,598,186,255
394,600,205,189
395,601,0,199
396,602,234,199
397,603,121,199
398,606,234,199
399,608,164,258
400,609,0,199
401,610,258,121
402,611,31,199
403,615,0,199
404,616,0,199
405,617,240,189
406,618,0,199
407,619,234,199
408,620,31,199
409,621,234,199
410,622,79,199
411,623,0,199
412,624,191,189
413,627,0,199
414,628,225,258
415,630,0,199
416,631,0,199
417,634,121,199
418,637,0,199
419,638,192,121
420,639,0,199
421,644,187,199
422,645,0,199
423,646,214,121
424,647,0,199
425,649,22,199
426,652,0,199
427,654,0,199
428,655,0,199
429,657,0,199
430,658,245,199
431,659,6,199
432,661,79,199
433,663,253,121
434,665,126,121
435,667,94,121
436,668,230,121
437,670,0,199
438,671,41,199
439,673,4,121
440,674,0,199
441,675,0,199
442,677,158,121
443,678,0,199
444,679,31,199
445,681,0,199
446,682,151,199
447,683,31,199
448,684,0,199
449,685,35,189
450,689,121,199
451,691,0,199
452,692,251,199
453,693,101,121
454,697,192,121
455,698,69,258
456,699,147,121
457,701,234,199
458,703,234,199
459,704,0,199
460,705,0,199
461,708,34,121
462,709,117,121
463,711,0,199
464,712,127,258
465,713,187,199
466,714,31,199
467,717,229,199
468,718,234,199
469,719,0,199
470,720,208,121
471,727,234,199
472,728,183,199
473,729,31,199
474,733,0,199
475,735,22,199
476,736,86,189
477,737,0,199
478,738,192,121
479,739,33,189
480,741,0,199
481,742,185,199
482,747,234,199
483,750,0,199
484,751,0,199
485,752,130,121
486,754,0,199
487,755,0,199
488,757,234,199
489,758,129,121
490,759,0,199
491,761,31,199
492,762,123,189
493,763,0,199
494,765,204,258
495,766,0,199
496,769,0,199
497,770,0,199
498,771,0,199
499,774,0,199
500,776,0,199
501,777,0,199
502,778,134,189
503,779,246,189
504,781,121,199
505,783,234,199
506,784,234,199
507,785,2,121
508,786,186,121
509,788,9,121
510,794,31,199
511,795,121,199
512,796,0,199
513,797,0,199
514,798,234,199
515,799,51,199
516,800,0,199
517,801,10,189
518,803,121,199
519,804,155,121
520,805,234,199
521,806,232,121
522,807,205,199
523,809,0,199
524,811,0,199
525,812,73,189
526,814,0,199
527,815,0,199
528,816,19,189
529,817,3,189
530,818,0,199
531,820,0,199
532,823,121,199
533,824,110,199
534,827,221,121
535,828,141,121
536,831,0,199
537,832,0,199
538,834,76,121
539,842,0,199
540,843,230,121
541,844,0,199
542,848,0,199
543,850,143,189
544,851,121,199
545,854,0,199
546,856,0,199
547,857,6,199
548,858,234,199
549,859,0,199
550,869,0,199
551,871,0,199
552,874,0,199
553,875,0,199
554,878,22,199
555,879,0,199
556,881,121,199
557,882,0,199
558,883,0,199
559,884,0,199
560,885,0,199
561,887,64,199
562,888,64,199
563,890,12,199
564,892,234,199
565,894,0,199
566,895,27,199
567,896,144,199
568,897,84,121
569,900,113,121
570,903,146,258
571,904,0,199
572,908,0,199
573,909,0,199
574,910,64,199
575,911,234,199
576,912,27,199
577,913,101,121
578,914,22,199
579,915,0,199
580,918,0,199
581,919,34,189
582,920,234,199
583,924,0,199
584,925,234,199
585,926,6,199
586,928,189,121
587,930,0,199
588,931,0,199
589,932,0,199
590,934,234,199
591,935,0,199
592,936,0,199
593,937,121,199
594,939,0,199
595,940,0,199
596,941,99,121
597,942,163,121
598,944,31,199
599,946,46,189
600,949,0,199
601,951,212,121
602,952,11,121
603,953,0,199
604,954,121,199
605,955,0,199
606,956,121,199
607,960,204,189
608,961,186,121
609,962,134,121
610,965,234,199
611,966,234,199
612,967,234,199
613,969,234,199
614,972,121,199
615,973,0,199
616,974,0,199
617,975,0,199
618,977,0,199
619,978,79,199
620,980,0,199
621,981,177,121
622,982,31,199
623,983,31,199
624,984,0,199
625,986,12,199
626,987,234,199
627,988,22,199
628,989,107,189
629,990,79,199
630,995,0,199
631,996,9,121
632,997,31,199
633,998,121,199
634,999,0,199
635,1004,126,121
636,1005,0,199
637,1007,31,199
638,1008,0,199
639,1010,128,189
640,1011,121,199
641,1013,134,121
642,1014,0,199
643,1015,0,199
644,1016,240,199
645,1019,143,199
646,1020,234,199
647,1021,0,199
648,1024,0,199
649,1025,121,199
650,1026,208,121
651,1029,0,199
652,1030,192,121
653,1031,138,189
654,1034,0,199
655,1036,138,189
656,1038,0,199
657,1039,64,199
658,1040,0,199
659,1042,0,199
660,1043,0,199
661,1045,121,199
662,1046,0,199
663,1047,231,121
664,1049,12,199
665,1051,17,199
666,1052,129,121
667,1055,0,199
668,1056,260,189
669,1058,57,189
670,1059,27,199
671,1065,113,121
672,1066,251,199
673,1067,86,189
674,1068,22,199
675,1073,92,121
676,1074,0,199
677,1075,0,199
678,1076,260,189
679,1077,0,199
680,1079,0,199
681,1080,86,189
682,1082,0,199
683,1083,208,121
684,1084,0,199
685,1085,156,209
686,1086,192,121
687,1087,0,199
688,1089,0,199
689,1091,0,199
690,1092,0,199
691,1093,160,199
692,1095,0,199
693,1096,160,199
694,1098,0,199
695,1099,37,199
696,1100,0,199
697,1101,0,199
698,1102,140,189
699,1105,0,199
700,1106,134,189
701,1107,0,199
702,1108,81,189
703,1111,209,121
704,1113,6,199
705,1114,31,199
706,1116,138,189
707,1118,40,258
708,1120,0,199
709,1123,121,199
710,1124,86,189
711,1125,179,121
712,1126,145,189
713,1128,189,121
714,1129,3,189
715,1131,0,199
716,1133,12,199
717,1135,0,199
718,1136,56,199
719,1139,0,199
720,1140,0,199
721,1143,121,199
722,1147,118,199
723,1148,0,199
724,1150,234,199
725,1151,0,199
726,1154,0,199
727,1159,56,199
728,1160,34,121
729,1161,141,121
730,1162,0,199
731,1164,0,199
732,1165,76,121
733,1167,143,199
734,1168,0,199
735,1169,0,199
736,1171,38,189
737,1172,68,121
738,1175,0,199
739,1176,0,199
740,1178,0,199
741,1179,22,199
742,1180,0,199
743,1181,0,199
744,1183,79,199
745,1184,0,199
746,1185,176,121
747,1186,234,199
748,1189,146,258
749,1190,0,199
750,1191,123,189
751,1192,143,199
752,1194,0,199
753,1196,0,199
754,1197,15,189
755,1199,229,199
756,1200,160,199
757,1201,0,199
758,1202,0,199
759,1203,56,199
760,1204,0,199
761,1206,0,199
762,1207,234,199
763,1209,24,189
764,1210,22,199
765,1212,64,199
766,1214,0,199
767,1215,232,121
768,1216,0,199
769,1218,176,121
770,1220,0,199
771,1222,86,189
772,1223,0,199
773,1225,205,189
774,1226,87,121
775,1227,44,199
776,1228,0,199
777,1229,86,189
778,1235,113,121
779,1236,214,189
780,1238,230,121
781,1242,0,199
782,1243,127,258
783,1245,170,121
784,1247,0,199
785,1248,200,189
786,1249,0,199
787,1250,222,258
788,1251,0,199
789,1252,81,189
790,1254,135,189
791,1257,68,121
792,1258,31,199
793,1259,0,199
794,1260,0,199
795,1261,3,199
796,1262,143,199
797,1264,138,189
798,1268,86,189
799,1270,0,199
800,1271,0,199
801,1272,234,199
802,1273,0,199
803,1275,0,199
804,1276,0,199
805,1277,194,199
806,1279,0,199
807,1280,74,121
808,1281,0,199
809,1282,0,199
810,1283,22,199
811,1284,0,199
812,1285,79,199
813,1287,258,121
814,1288,27,199
815,1290,22,199
816,1291,0,199
817,1292,0,199
818,1294,234,199
819,1296,0,199
820,1297,31,199
821,1298,238,189
822,1299,0,199
823,1300,22,199
824,1301,187,199
825,1302,205,199
826,1304,83,189
827,1305,88,189
828,1307,0,199
829,1309,0,199
830,1310,0,199
831,1312,0,199
832,1316,22,199
833,1318,100,258
834,1324,211,189
835,1325,121,199
836,1326,56,199
837,1329,0,199
838,1330,0,199
839,1332,0,199
840,1333,86,189
841,1334,121,199
842,1335,0,199
843,1337,121,199
844,1340,0,199
845,1341,0,199
846,1342,22,199
847,1344,247,189
848,1345,249,189
849,1346,0,199
850,1349,82,189
851,1350,35,189
852,1352,245,199
