,breath_id,closest_cluster,farest_cluster
0,1,3,333
1,2,0,333
2,3,0,333
3,4,159,333
4,5,1,333
5,6,175,333
6,7,0,333
7,9,0,333
8,10,0,333
9,12,71,333
10,13,99,43
11,14,70,371
12,15,147,333
13,16,0,333
14,17,81,333
15,18,290,333
16,19,31,333
17,20,0,333
18,21,0,333
19,22,166,333
20,23,0,333
21,25,284,333
22,26,85,333
23,27,0,333
24,28,0,333
25,29,0,333
26,30,67,333
27,32,0,333
28,34,213,371
29,35,369,333
30,36,1,333
31,37,164,323
32,39,118,371
33,40,159,333
34,41,0,333
35,42,161,333
36,43,0,333
37,44,300,333
38,46,173,333
39,47,299,333
40,48,22,161
41,49,0,333
42,52,29,333
43,53,151,333
44,54,161,333
45,55,187,333
46,57,118,371
47,58,63,333
48,59,377,333
49,60,375,333
50,61,0,333
51,63,0,333
52,64,1,333
53,66,71,333
54,67,234,333
55,68,234,333
56,69,0,333
57,70,0,333
58,71,0,333
59,72,31,323
60,73,0,333
61,75,161,333
62,76,276,333
63,77,29,333
64,79,290,333
65,82,127,161
66,83,0,333
67,84,0,333
68,87,189,371
69,89,180,333
70,90,43,371
71,92,269,333
72,93,162,371
73,94,161,333
74,100,0,333
75,101,85,333
76,104,109,333
77,106,161,333
78,108,301,333
79,111,0,333
80,112,287,323
81,114,0,333
82,115,24,333
83,117,0,333
84,118,273,161
85,119,187,333
86,120,0,333
87,122,122,161
88,125,0,333
89,126,264,43
90,129,31,333
91,130,49,333
92,131,161,333
93,133,378,371
94,134,0,333
95,135,159,333
96,136,176,333
97,138,3,333
98,141,161,333
99,142,77,333
100,143,195,333
101,144,298,333
102,146,263,333
103,147,0,333
104,148,161,333
105,149,157,333
106,150,0,333
107,151,0,333
108,152,63,333
109,154,0,333
110,155,188,371
111,156,295,323
112,157,181,333
113,160,127,161
114,162,164,323
115,163,173,333
116,164,0,333
117,165,198,333
118,166,274,333
119,167,187,333
120,169,308,161
121,170,246,333
122,172,322,371
123,173,161,333
124,175,0,333
125,176,0,333
126,177,116,371
127,179,220,333
128,181,161,333
129,183,181,333
130,184,31,333
131,186,0,333
132,187,263,333
133,188,277,333
134,189,81,333
135,190,166,333
136,191,0,333
137,192,0,333
138,193,208,371
139,197,162,371
140,199,219,333
141,201,0,333
142,202,168,333
143,203,49,333
144,204,0,333
145,207,0,333
146,208,161,333
147,211,71,333
148,212,315,371
149,213,215,333
150,214,0,333
151,216,302,333
152,217,281,333
153,218,0,333
154,219,178,333
155,221,0,333
156,223,118,371
157,224,234,333
158,225,269,333
159,226,1,333
160,227,0,333
161,229,161,333
162,230,0,333
163,231,160,333
164,234,0,333
165,235,269,333
166,237,180,333
167,238,301,333
168,239,358,333
169,240,0,333
170,241,303,371
171,242,125,371
172,244,118,371
173,245,31,333
174,249,248,371
175,251,159,333
176,254,148,371
177,255,0,333
178,256,85,333
179,257,161,333
180,258,0,333
181,259,161,333
182,262,377,323
183,263,187,333
184,264,0,333
185,267,161,333
186,270,329,161
187,271,0,333
188,275,369,371
189,277,0,333
190,278,0,333
191,280,159,333
192,281,0,333
193,283,144,333
194,284,157,333
195,285,234,333
196,286,0,333
197,287,234,333
198,289,0,333
199,290,234,333
200,292,86,333
201,294,85,333
202,296,0,333
203,297,119,371
204,298,236,333
205,299,0,333
206,302,127,161
207,303,72,323
208,304,0,333
209,305,175,333
210,307,161,333
211,309,357,333
212,313,0,333
213,314,234,333
214,316,373,161
215,317,290,333
216,319,371,161
217,321,3,333
218,323,139,371
219,324,28,333
220,325,0,333
221,326,109,333
222,327,0,333
223,328,96,43
224,329,225,371
225,331,301,333
226,332,345,161
227,333,0,333
228,334,112,333
229,335,161,333
230,337,0,333
231,338,0,333
232,340,0,333
233,342,369,333
234,344,0,333
235,345,198,333
236,346,0,333
237,349,0,333
238,352,1,333
239,353,0,333
240,354,191,371
241,356,0,333
242,357,0,333
243,358,112,333
244,359,11,371
245,362,161,333
246,363,269,333
247,364,301,333
248,366,157,333
249,367,0,333
250,369,234,333
251,370,0,333
252,371,351,371
253,372,243,161
254,373,344,371
255,376,0,333
256,377,1,333
257,379,0,333
258,381,0,333
259,385,161,333
260,386,245,371
261,387,187,333
262,388,0,333
263,389,29,333
264,391,151,323
265,392,0,333
266,394,234,333
267,395,187,333
268,397,0,333
269,399,301,333
270,400,234,333
271,402,107,371
272,403,367,333
273,404,0,333
274,405,0,333
275,407,18,333
276,410,313,161
277,411,191,371
278,412,161,333
279,413,180,333
280,414,166,333
281,415,0,333
282,416,0,333
283,417,0,333
284,418,165,371
285,422,264,43
286,423,0,333
287,427,0,333
288,428,129,333
289,429,0,333
290,430,0,333
291,432,64,333
292,433,185,333
293,434,0,333
294,436,301,333
295,437,79,161
296,438,0,333
297,439,161,333
298,441,94,43
299,442,31,333
300,443,315,371
301,446,0,333
302,448,0,333
303,450,0,333
304,451,161,333
305,453,159,333
306,454,215,333
307,455,43,371
308,456,0,333
309,458,0,333
310,459,81,333
311,461,221,333
312,462,160,333
313,463,0,333
314,464,234,333
315,469,0,333
316,470,301,333
317,471,0,333
318,472,0,333
319,474,0,333
320,475,49,333
321,476,234,333
322,477,173,333
323,478,127,161
324,479,301,333
325,482,188,371
326,484,0,333
327,486,0,333
328,489,0,333
329,490,143,371
330,494,60,333
331,496,89,371
332,499,255,161
333,500,44,333
334,501,0,333
335,504,0,333
336,505,0,333
337,506,0,333
338,508,0,333
339,510,0,333
340,511,159,333
341,512,231,371
342,513,161,333
343,516,157,333
344,518,0,333
345,519,161,333
346,521,0,333
347,523,187,333
348,526,180,333
349,528,0,333
350,530,0,333
351,532,175,333
352,534,287,333
353,535,325,161
354,536,31,333
355,538,0,333
356,539,0,333
357,540,185,333
358,541,159,333
359,542,161,333
360,543,85,333
361,545,135,333
362,546,253,161
363,547,175,333
364,551,0,333
365,553,187,333
366,555,36,333
367,556,161,333
368,557,161,333
369,559,0,333
370,560,0,333
371,561,197,333
372,564,0,333
373,565,198,333
374,567,194,333
375,573,54,333
376,574,0,333
377,575,234,333
378,578,0,333
379,579,22,161
380,581,0,333
381,582,318,333
382,583,0,333
383,584,218,333
384,587,35,43
385,588,317,333
386,589,269,333
387,591,279,333
388,592,3,333
389,594,0,333
390,595,0,333
391,596,180,333
392,597,56,333
393,598,123,323
394,600,359,333
395,601,0,333
396,602,166,333
397,603,161,333
398,606,31,333
399,608,363,333
400,609,0,333
401,610,22,161
402,611,3,333
403,615,0,333
404,616,0,333
405,617,46,333
406,618,0,333
407,619,234,333
408,620,159,333
409,621,44,333
410,622,64,333
411,623,0,333
412,624,129,333
413,627,0,333
414,628,57,333
415,630,0,333
416,631,0,333
417,634,161,333
418,637,0,333
419,638,77,323
420,639,0,333
421,644,187,333
422,645,0,333
423,646,370,371
424,647,85,333
425,649,160,333
426,652,29,333
427,654,0,333
428,655,0,333
429,657,0,333
430,658,25,333
431,659,9,333
432,661,0,333
433,663,368,371
434,665,244,161
435,667,77,371
436,668,336,323
437,670,0,333
438,671,24,323
439,673,127,161
440,674,0,333
441,675,0,333
442,677,313,161
443,678,0,333
444,679,263,333
445,681,187,333
446,682,295,323
447,683,301,333
448,684,0,333
449,685,354,371
450,689,161,333
451,691,234,333
452,692,71,333
453,693,253,161
454,697,303,323
455,698,194,333
456,699,323,161
457,701,234,333
458,703,187,333
459,704,0,333
460,705,234,333
461,708,227,43
462,709,346,43
463,711,301,333
464,712,284,333
465,713,321,333
466,714,137,333
467,717,173,333
468,718,234,333
469,719,0,333
470,720,245,333
471,727,234,333
472,728,236,333
473,729,247,333
474,733,0,333
475,735,25,333
476,736,165,371
477,737,0,333
478,738,164,323
479,739,200,333
480,741,0,333
481,742,353,323
482,747,173,333
483,750,234,333
484,751,0,333
485,752,359,371
486,754,0,333
487,755,198,333
488,757,159,333
489,758,266,371
490,759,0,333
491,761,263,333
492,762,378,371
493,763,0,333
494,765,317,333
495,766,0,333
496,769,0,333
497,770,159,333
498,771,221,333
499,774,0,333
500,776,287,333
501,777,0,333
502,778,316,371
503,779,116,371
504,781,161,333
505,783,31,333
506,784,221,333
507,785,343,371
508,786,324,333
509,788,99,43
510,794,3,333
511,795,0,333
512,796,0,333
513,797,269,333
514,798,234,333
515,799,168,333
516,800,0,333
517,801,76,333
518,803,161,333
519,804,158,43
520,805,49,333
521,806,186,371
522,807,290,333
523,809,0,333
524,811,0,333
525,812,317,333
526,814,0,333
527,815,0,333
528,816,237,333
529,817,290,333
530,818,269,333
531,820,0,333
532,823,161,333
533,824,242,333
534,827,371,43
535,828,303,371
536,831,0,333
537,832,0,333
538,834,22,161
539,842,0,333
540,843,336,323
541,844,0,333
542,848,187,333
543,850,108,333
544,851,161,333
545,854,0,333
546,856,0,333
547,857,293,323
548,858,49,333
549,859,0,333
550,869,0,333
551,871,0,333
552,874,0,333
553,875,221,333
554,878,64,333
555,879,0,333
556,881,161,333
557,882,157,333
558,883,0,333
559,884,85,333
560,885,97,333
561,887,1,333
562,888,66,333
563,890,334,333
564,892,234,333
565,894,0,333
566,895,144,333
567,896,310,333
568,897,366,161
569,900,292,161
570,903,168,333
571,904,159,333
572,908,0,333
573,909,0,333
574,910,1,333
575,911,234,333
576,912,113,323
577,913,16,161
578,914,181,333
579,915,187,333
580,918,0,333
581,919,67,43
582,920,31,333
583,924,0,333
584,925,3,333
585,926,9,333
586,928,271,323
587,930,0,333
588,931,269,333
589,932,0,333
590,934,49,333
591,935,0,333
592,936,234,333
593,937,161,333
594,939,161,333
595,940,0,333
596,941,120,161
597,942,230,161
598,944,0,333
599,946,6,333
600,949,0,333
601,951,330,43
602,952,8,323
603,953,0,333
604,954,161,333
605,955,0,333
606,956,161,333
607,960,317,333
608,961,123,323
609,962,266,371
610,965,197,333
611,966,0,333
612,967,31,333
613,969,263,333
614,972,0,333
615,973,263,333
616,974,0,333
617,975,0,333
618,977,0,333
619,978,187,333
620,980,0,333
621,981,292,161
622,982,64,333
623,983,173,333
624,984,0,333
625,986,236,333
626,987,280,333
627,988,181,333
628,989,135,333
629,990,0,333
630,995,0,333
631,996,94,43
632,997,0,333
633,998,161,333
634,999,0,333
635,1004,292,161
636,1005,0,333
